Country Code,Country Name,Year,Capital Health Expenditure
AFG,Afghanistan,2017,0.28592768
AFG,Afghanistan,2018,0.36722939
AFG,Afghanistan,2019,0.31406657
AFG,Afghanistan,2020,0.41934217
AFG,Afghanistan,2021,0.41568576
ALB,Albania,2017,0.14722906
ALB,Albania,2018,0.16765136
AND,Andorra,2017,0.10919669
AND,Andorra,2018,0.06971787
AND,Andorra,2019,0.10289453
ATG,Antigua and Barbuda,2017,0.00550222
ATG,Antigua and Barbuda,2018,0.02265624
ATG,Antigua and Barbuda,2019,0.02125437
ATG,Antigua and Barbuda,2020,0.00856461
ARG,Argentina,2017,0.00970424
ARM,Armenia,2017,0.06770249
ARM,Armenia,2018,0.02918381
ARM,Armenia,2019,0.03048215
ARM,Armenia,2020,0.05976043
AUS,Australia,2017,0.5034349
AUS,Australia,2018,0.53678674
AUS,Australia,2019,0.56263465
AUT,Austria,2017,0.76645702
AUT,Austria,2018,0.72154313
AUT,Austria,2019,0.67126405
AUT,Austria,2020,0.80341887
AUT,Austria,2021,0.76973218
AZE,Azerbaijan,2017,0.14217067
AZE,Azerbaijan,2018,0.18254007
AZE,Azerbaijan,2019,0.16484322
BHS,"Bahamas, The",2018,0.07820242
BHS,"Bahamas, The",2019,0.08885519
BHS,"Bahamas, The",2020,0.12182075
BGD,Bangladesh,2017,0.0291157
BRB,Barbados,2017,0.07678612
BRB,Barbados,2018,0.18790331
BRB,Barbados,2019,0.39248982
BLR,Belarus,2017,0.1653932
BLR,Belarus,2018,0.12676586
BLR,Belarus,2019,0.12495124
BLZ,Belize,2017,0.10920924
BLZ,Belize,2018,0.01976329
BLZ,Belize,2019,0.03558018
BLZ,Belize,2020,0.09362658
BTN,Bhutan,2017,0.90011787
BTN,Bhutan,2018,0.85157996
BTN,Bhutan,2019,0.5658282
BTN,Bhutan,2020,0.59886932
BOL,Bolivia,2017,0.59475273
BOL,Bolivia,2018,0.77348602
BOL,Bolivia,2019,0.81315786
BWA,Botswana,2017,0.13817585
BWA,Botswana,2018,0.3231802
BWA,Botswana,2019,0.27252728
BRA,Brazil,2017,0.25351474
BRA,Brazil,2018,0.3363744
BRA,Brazil,2019,0.292492
BRA,Brazil,2020,0.21212886
BRN,Brunei Darussalam,2017,0.15525168
BRN,Brunei Darussalam,2018,0.0958964
BRN,Brunei Darussalam,2019,0.06312925
BGR,Bulgaria,2020,0.09868272
BFA,Burkina Faso,2017,0.37227628
BFA,Burkina Faso,2018,0.35071552
BFA,Burkina Faso,2019,0.22920986
BFA,Burkina Faso,2020,0.28752726
BDI,Burundi,2018,0.23678015
KHM,Cambodia,2017,0.04164732
KHM,Cambodia,2018,0.03425035
KHM,Cambodia,2019,0.05146568
CMR,Cameroon,2018,0.07812227
CMR,Cameroon,2019,0.11039094
CAN,Canada,2017,0.38220248
CAN,Canada,2018,0.38157806
CAN,Canada,2019,0.38841924
CAN,Canada,2020,0.47260767
CAN,Canada,2021,0.44690365
CAF,Central African Republic,2017,0.03225795
CAF,Central African Republic,2018,0.20133688
TCD,Chad,2018,0.00902214
CHL,Chile,2017,0.24515237
CHL,Chile,2018,0.24599814
CHN,China,2017,0.63337505
CHN,China,2018,0.63165569
CHN,China,2019,0.58143049
CHN,China,2020,0.62190121
COM,Comoros,2019,1.42860985
COD,"Congo, Dem. Rep.",2017,0.11055514
COD,"Congo, Dem. Rep.",2018,0.0617129
COD,"Congo, Dem. Rep.",2019,0.09406339
COD,"Congo, Dem. Rep.",2020,0.13557999
COG,"Congo, Rep.",2017,0.18201137
COG,"Congo, Rep.",2018,0.07520649
COG,"Congo, Rep.",2019,0.04368274
COG,"Congo, Rep.",2020,0.22733893
CRI,Costa Rica,2017,0.25388139
CRI,Costa Rica,2018,0.24196577
CRI,Costa Rica,2019,0.28705466
CRI,Costa Rica,2020,0.42787167
CIV,Cote d'Ivoire,2017,0.28421304
CIV,Cote d'Ivoire,2018,0.42957434
CIV,Cote d'Ivoire,2019,0.26408978
CIV,Cote d'Ivoire,2020,0.85787769
HRV,Croatia,2017,0.17203104
HRV,Croatia,2018,0.2287927
HRV,Croatia,2019,0.31960422
HRV,Croatia,2020,0.3259275
CUB,Cuba,2017,0.16551197
