Country Code,Country Name,Year,Influenza Cases,Capital Health Expenditure
AFG,Afghanistan,2017,3,0.28592768
AFG,Afghanistan,2018,5,0.36722939
AFG,Afghanistan,2019,7,0.31406657
AFG,Afghanistan,2020,3,0.41934217
AFG,Afghanistan,2021,3,0.41568576
ALB,Albania,2017,47,0.14722906
ALB,Albania,2018,122,0.16765136
ARE,United Arab Emirates,2020,20,0.03421129
ARG,Argentina,2017,149,0.00970424
ARM,Armenia,2017,69,0.06770249
ARM,Armenia,2018,114,0.02918381
ARM,Armenia,2019,141,0.03048215
ARM,Armenia,2020,152,0.05976043
ATG,Antigua and Barbuda,2018,11,0.02265624
ATG,Antigua and Barbuda,2019,0,0.02125437
ATG,Antigua and Barbuda,2020,0,0.00856461
AUS,Australia,2017,427,0.5034349
AUS,Australia,2018,171,0.53678674
AUS,Australia,2019,553,0.56263465
AUT,Austria,2017,235,0.76645702
AUT,Austria,2018,582,0.72154313
AUT,Austria,2019,461,0.67126405
AUT,Austria,2020,572,0.80341887
AUT,Austria,2021,1,0.76973218
AZE,Azerbaijan,2017,4,0.14217067
AZE,Azerbaijan,2018,7,0.18254007
AZE,Azerbaijan,2019,17,0.16484322
BFA,Burkina Faso,2017,3,0.37227628
BFA,Burkina Faso,2018,12,0.35071552
BFA,Burkina Faso,2019,5,0.22920986
BFA,Burkina Faso,2020,2,0.28752726
BGD,Bangladesh,2017,7,0.0291157
BGR,Bulgaria,2020,82,0.09868272
BLR,Belarus,2017,82,0.1653932
BLR,Belarus,2018,45,0.12676586
BLR,Belarus,2019,77,0.12495124
BLZ,Belize,2017,29,0.10920924
BLZ,Belize,2018,128,0.01976329
BLZ,Belize,2019,103,0.03558018
BLZ,Belize,2020,134,0.09362658
BRA,Brazil,2017,15,0.25351474
BRA,Brazil,2018,33,0.3363744
BRA,Brazil,2019,16,0.292492
BRA,Brazil,2020,7,0.21212886
BRB,Barbados,2017,47,0.07678612
BRB,Barbados,2018,97,0.18790331
BRB,Barbados,2019,150,0.39248982
BTN,Bhutan,2017,587,0.90011787
BTN,Bhutan,2018,478,0.85157996
BTN,Bhutan,2019,885,0.5658282
BTN,Bhutan,2020,135,0.59886932
CAF,Central African Republic,2017,22,0.03225795
CAF,Central African Republic,2018,35,0.20133688
CAN,Canada,2017,1215,0.38220248
CAN,Canada,2018,1794,0.38157806
CAN,Canada,2019,1149,0.38841924
CAN,Canada,2020,1183,0.47260767
CAN,Canada,2021,9,0.44690365
CHL,Chile,2017,197,0.24515237
CHL,Chile,2018,198,0.24599814
CHN,China,2017,51,0.63337505
CHN,China,2018,41,0.63165569
CHN,China,2019,70,0.58143049
CHN,China,2020,18,0.62190121
CMR,Cameroon,2018,13,0.07812227
CMR,Cameroon,2019,13,0.11039094
CRI,Costa Rica,2017,118,0.25388139
