Country Code,Country Name,Year,Cases,GDP,Population,Cases (per million people)
ABW,Aruba,2017,52,3092178771.0,105439,493
ABW,Aruba,2018,62,3276187709.0,105962,585
ABW,Aruba,2019,166,3395793855.0,106442,1560
ABW,Aruba,2020,101,2610038939.0,106585,948
ABW,Aruba,2021,0,3126019385.0,106537,0
AFG,Afghanistan,2017,108,18896353156.0,35643418,3
AFG,Afghanistan,2018,187,18418860354.0,36686784,5
AFG,Afghanistan,2019,278,18904502222.0,37769499,7
AFG,Afghanistan,2020,123,20143451706.0,38972230,3
AFG,Afghanistan,2021,120,14583135237.0,40099462,3
ALB,Albania,2017,136,13019726212.0,2873457,47
ALB,Albania,2018,350,15156424062.0,2866376,122
ALB,Albania,2019,527,15401826081.0,2854191,185
ALB,Albania,2020,445,15162734205.0,2837849,157
ALB,Albania,2021,523,17930565119.0,2811666,186
ALB,Albania,2022,364,18882095518.0,2775634,131
ARE,United Arab Emirates,2020,184,349000000000.0,9287289,20
ARE,United Arab Emirates,2021,70,415000000000.0,9365145,7
ARE,United Arab Emirates,2022,1360,508000000000.0,9441129,144
ARG,Argentina,2017,6566,644000000000.0,44044811,149
ARG,Argentina,2018,4615,525000000000.0,44494502,104
ARG,Argentina,2019,6477,448000000000.0,44938712,144
ARG,Argentina,2020,465,386000000000.0,45376763,10
ARG,Argentina,2021,29,487000000000.0,45808747,1
ARG,Argentina,2022,26585,633000000000.0,46234830,575
ARM,Armenia,2017,197,11527458713.0,2851923,69
ARM,Armenia,2018,322,12457940705.0,2836557,114
ARM,Armenia,2019,399,13619290546.0,2820602,141
ARM,Armenia,2020,427,12641698594.0,2805608,152
ARM,Armenia,2021,110,13861409969.0,2790974,39
ARM,Armenia,2022,148,19502783988.0,2780469,53
ATG,Antigua and Barbuda,2018,1,1604770370.0,91626,11
ATG,Antigua and Barbuda,2019,0,1675403704.0,92117,0
ATG,Antigua and Barbuda,2020,0,1416348148.0,92664,0
ATG,Antigua and Barbuda,2021,0,1560518519.0,93219,0
ATG,Antigua and Barbuda,2022,0,1757603704.0,93763,0
AUS,Australia,2017,10509,1330000000000.0,24594202,427
AUS,Australia,2018,4264,1430000000000.0,24966643,171
AUS,Australia,2019,14002,1390000000000.0,25340217,553
AUS,Australia,2020,949,1330000000000.0,25655289,37
AUS,Australia,2021,8,1550000000000.0,25688079,0
AUS,Australia,2022,14433,1680000000000.0,25978935,556
AUT,Austria,2017,2071,417000000000.0,8797566,235
AUT,Austria,2018,5143,455000000000.0,8840521,582
AUT,Austria,2019,4097,445000000000.0,8879920,461
AUT,Austria,2020,5098,435000000000.0,8916864,572
AUT,Austria,2021,10,480000000000.0,8955797,1
AUT,Austria,2022,3109,471000000000.0,9042528,344
AZE,Azerbaijan,2017,41,40866632048.0,9854033,4
AZE,Azerbaijan,2018,67,47112479289.0,9939771,7
AZE,Azerbaijan,2019,170,48174235294.0,10024283,17
AZE,Azerbaijan,2020,151,42693000000.0,10093121,15
AZE,Azerbaijan,2021,3,54825411765.0,10137750,0
AZE,Azerbaijan,2022,2,78721058824.0,10175016,0
BEL,Belgium,2017,299,503000000000.0,11375158,26
BEL,Belgium,2018,343,543000000000.0,11427054,30
BEL,Belgium,2019,287,536000000000.0,11488980,25
BEL,Belgium,2020,239,525000000000.0,11538604,21
BEL,Belgium,2021,7,594000000000.0,11592952,1
BEL,Belgium,2022,595,579000000000.0,11669446,51
BFA,Burkina Faso,2017,55,14106955625.0,19835858,3
BFA,Burkina Faso,2018,236,15890066210.0,20392723,12
BFA,Burkina Faso,2019,107,16178161666.0,20951639,5
BFA,Burkina Faso,2020,41,17933606213.0,21522626,2
BFA,Burkina Faso,2021,51,19737616003.0,22100683,2
BFA,Burkina Faso,2022,70,18884619613.0,22673762,3
BGD,Bangladesh,2017,1191,294000000000.0,161793964,7
BGD,Bangladesh,2018,673,321000000000.0,163683958,4
BGD,Bangladesh,2019,1783,351000000000.0,165516222,11
BGD,Bangladesh,2020,311,374000000000.0,167420951,2
BGD,Bangladesh,2021,555,416000000000.0,169356251,3
BGD,Bangladesh,2022,442,460000000000.0,171186372,3
BGR,Bulgaria,2017,233,59343060706.0,7075947,33
BGR,Bulgaria,2018,477,66399602077.0,7025037,68
BGR,Bulgaria,2019,544,68911930628.0,6975761,78
BGR,Bulgaria,2020,569,70404359049.0,6934015,82
BGR,Bulgaria,2021,2,84061395658.0,6877743,0
BGR,Bulgaria,2022,145,89040398406.0,6465097,22
BHR,Bahrain,2017,89,35473776596.0,1456834,61
BHR,Bahrain,2018,202,37802005319.0,1487340,136
BHR,Bahrain,2019,197,38653318085.0,1494188,132
BHR,Bahrain,2020,36,34621807713.0,1477469,24
BHR,Bahrain,2022,3816,44390820479.0,1472233,2592
BIH,Bosnia and Herzegovina,2018,0,20484048416.0,3400129,0
BIH,Bosnia and Herzegovina,2019,0,20482603346.0,3360711,0
BIH,Bosnia and Herzegovina,2020,0,20226030731.0,3318407,0
BIH,Bosnia and Herzegovina,2021,0,23649566069.0,3270943,0
