Country Code,Country Name,Year,Cases,GDP
ABW,Aruba,2017,52,3092178771.0
ABW,Aruba,2018,62,3276187709.0
ABW,Aruba,2019,166,3395793855.0
ABW,Aruba,2020,101,2610038939.0
ABW,Aruba,2021,0,3126019385.0
AFG,Afghanistan,2017,108,18896353156.0
AFG,Afghanistan,2018,187,18418860354.0
AFG,Afghanistan,2019,278,18904502222.0
AFG,Afghanistan,2020,123,20143451706.0
AFG,Afghanistan,2021,120,14583135237.0
ALB,Albania,2017,136,13019726212.0
ALB,Albania,2018,350,15156424062.0
ALB,Albania,2019,527,15401826081.0
ALB,Albania,2020,445,15162734205.0
ALB,Albania,2021,523,17930565119.0
ALB,Albania,2022,364,18882095518.0
ARE,United Arab Emirates,2020,184,349000000000.0
ARE,United Arab Emirates,2021,70,415000000000.0
ARE,United Arab Emirates,2022,1360,508000000000.0
ARG,Argentina,2017,6566,644000000000.0
ARG,Argentina,2018,4615,525000000000.0
ARG,Argentina,2019,6477,448000000000.0
ARG,Argentina,2020,465,386000000000.0
ARG,Argentina,2021,29,487000000000.0
ARG,Argentina,2022,26585,633000000000.0
ARM,Armenia,2017,197,11527458713.0
ARM,Armenia,2018,322,12457940705.0
ARM,Armenia,2019,399,13619290546.0
ARM,Armenia,2020,427,12641698594.0
ARM,Armenia,2021,110,13861409969.0
ARM,Armenia,2022,148,19502783988.0
ATG,Antigua and Barbuda,2018,1,1604770370.0
ATG,Antigua and Barbuda,2019,0,1675403704.0
ATG,Antigua and Barbuda,2020,0,1416348148.0
ATG,Antigua and Barbuda,2021,0,1560518519.0
ATG,Antigua and Barbuda,2022,0,1757603704.0
AUS,Australia,2017,10509,1330000000000.0
AUS,Australia,2018,4264,1430000000000.0
AUS,Australia,2019,14002,1390000000000.0
AUS,Australia,2020,949,1330000000000.0
AUS,Australia,2021,8,1550000000000.0
AUS,Australia,2022,14433,1680000000000.0
AUT,Austria,2017,2071,417000000000.0
AUT,Austria,2018,5143,455000000000.0
AUT,Austria,2019,4097,445000000000.0
AUT,Austria,2020,5098,435000000000.0
AUT,Austria,2021,10,480000000000.0
AUT,Austria,2022,3109,471000000000.0
AZE,Azerbaijan,2017,41,40866632048.0
AZE,Azerbaijan,2018,67,47112479289.0
AZE,Azerbaijan,2019,170,48174235294.0
AZE,Azerbaijan,2020,151,42693000000.0
AZE,Azerbaijan,2021,3,54825411765.0
AZE,Azerbaijan,2022,2,78721058824.0
BEL,Belgium,2017,299,503000000000.0
BEL,Belgium,2018,343,543000000000.0
BEL,Belgium,2019,287,536000000000.0
BEL,Belgium,2020,239,525000000000.0
BEL,Belgium,2021,7,594000000000.0
BEL,Belgium,2022,595,579000000000.0
BFA,Burkina Faso,2017,55,14106955625.0
BFA,Burkina Faso,2018,236,15890066210.0
BFA,Burkina Faso,2019,107,16178161666.0
BFA,Burkina Faso,2020,41,17933606213.0
BFA,Burkina Faso,2021,51,19737616003.0
BFA,Burkina Faso,2022,70,18884619613.0
BGD,Bangladesh,2017,1191,294000000000.0
BGD,Bangladesh,2018,673,321000000000.0
BGD,Bangladesh,2019,1783,351000000000.0
BGD,Bangladesh,2020,311,374000000000.0
BGD,Bangladesh,2021,555,416000000000.0
BGD,Bangladesh,2022,442,460000000000.0
BGR,Bulgaria,2017,233,59343060706.0
BGR,Bulgaria,2018,477,66399602077.0
BGR,Bulgaria,2019,544,68911930628.0
BGR,Bulgaria,2020,569,70404359049.0
BGR,Bulgaria,2021,2,84061395658.0
BGR,Bulgaria,2022,145,89040398406.0
BHR,Bahrain,2017,89,35473776596.0
BHR,Bahrain,2018,202,37802005319.0
BHR,Bahrain,2019,197,38653318085.0
BHR,Bahrain,2020,36,34621807713.0
BHR,Bahrain,2022,3816,44390820479.0
BIH,Bosnia and Herzegovina,2018,0,20484048416.0
BIH,Bosnia and Herzegovina,2019,0,20482603346.0
BIH,Bosnia and Herzegovina,2020,0,20226030731.0
BIH,Bosnia and Herzegovina,2021,0,23649566069.0
BIH,Bosnia and Herzegovina,2022,0,24527507288.0
BLR,Belarus,2017,771,54725311690.0
BLR,Belarus,2018,428,60031163987.0
BLR,Belarus,2019,723,64410112583.0
BLR,Belarus,2020,170,61371755326.0
BLR,Belarus,2021,429,69673747132.0
BLR,Belarus,2022,710,72793457588.0
BLZ,Belize,2017,11,2286000000.0
BLZ,Belize,2018,49,2315000000.0
BLZ,Belize,2019,40,2416500000.0
BLZ,Belize,2020,53,2080000000.0
BLZ,Belize,2021,0,2491500000.0
BLZ,Belize,2022,180,2824081836.0
BMU,Bermuda,2017,7,7142316000.0
BMU,Bermuda,2018,3,7225977000.0
BMU,Bermuda,2019,12,7423465000.0
BMU,Bermuda,2020,7,6887147000.0
BMU,Bermuda,2021,0,7127200000.0
BMU,Bermuda,2022,0,7550500000.0
BRA,Brazil,2017,3027,2060000000000.0
BRA,Brazil,2018,7012,1920000000000.0
BRA,Brazil,2019,3459,1870000000000.0
BRA,Brazil,2020,1391,1480000000000.0
BRA,Brazil,2021,1240,1650000000000.0
BRA,Brazil,2022,3648,1920000000000.0
BRB,Barbados,2017,13,4981588900.0
BRB,Barbados,2018,27,5097283200.0
BRB,Barbados,2019,42,5324250000.0
BRB,Barbados,2020,23,4671800000.0
BRB,Barbados,2021,0,4843800000.0
BRB,Barbados,2022,0,5637914515.0
BTN,Bhutan,2017,444,2450366108.0
BTN,Bhutan,2018,364,2446867582.0
BTN,Bhutan,2019,679,2535655609.0
BTN,Bhutan,2020,104,2325185521.0
BTN,Bhutan,2021,57,2539551327.0
CAF,Central African Republic,2017,109,2072349974.0
CAF,Central African Republic,2018,177,2220979145.0
CAF,Central African Republic,2019,86,2221301351.0
CAF,Central African Republic,2020,1,2326720902.0
CAF,Central African Republic,2022,37,2382618615.0
CAN,Canada,2017,44404,1650000000000.0
CAN,Canada,2018,66482,1730000000000.0
CAN,Canada,2019,43196,1740000000000.0
CAN,Canada,2020,44956,1650000000000.0
CAN,Canada,2021,337,2000000000000.0
CAN,Canada,2022,71314,2140000000000.0
CHE,Switzerland,2017,9842,695000000000.0
CHE,Switzerland,2018,11918,726000000000.0
CHE,Switzerland,2019,14096,721000000000.0
CHE,Switzerland,2020,10081,740000000000.0
CHE,Switzerland,2021,473,801000000000.0
CHE,Switzerland,2022,23514,808000000000.0
CHL,Chile,2017,3610,276000000000.0
CHL,Chile,2018,3697,295000000000.0
CHL,Chile,2019,6539,278000000000.0
CHL,Chile,2020,272,254000000000.0
CHL,Chile,2021,77,317000000000.0
CHL,Chile,2022,13139,301000000000.0
CHN,China,2017,71429,12300000000000.0
CHN,China,2018,57323,13900000000000.0
CHN,China,2019,98542,14300000000000.0
CHN,China,2020,25572,14700000000000.0
CHN,China,2021,26100,17800000000000.0
CHN,China,2022,56339,18000000000000.0
CMR,Cameroon,2017,447,36098547059.0
CMR,Cameroon,2018,319,39973842059.0
CMR,Cameroon,2019,332,39670976440.0
CMR,Cameroon,2020,63,40773241212.0
CMR,Cameroon,2021,224,45338285386.0
CMR,Cameroon,2022,118,44341646509.0
COL,Colombia,2017,808,312000000000.0
COL,Colombia,2018,1425,334000000000.0
COL,Colombia,2019,1316,323000000000.0
COL,Colombia,2020,467,270000000000.0
COL,Colombia,2021,21,319000000000.0
COL,Colombia,2022,538,344000000000.0
CRI,Costa Rica,2017,591,60516044623.0
CRI,Costa Rica,2018,170,62420164965.0
CRI,Costa Rica,2019,505,64417670556.0
