Series Name,Series Code,Country Name,Country Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,35643418,36686784,37769499,38972230,40099462,41128771
"Population, total",SP.POP.TOTL,Albania,ALB,2873457,2866376,2854191,2837849,2811666,2775634
"Population, total",SP.POP.TOTL,Algeria,DZA,41136546,41927007,42705368,43451666,44177969,44903225
"Population, total",SP.POP.TOTL,American Samoa,ASM,49463,48424,47321,46189,45035,44273
"Population, total",SP.POP.TOTL,Andorra,AND,73837,75013,76343,77700,79034,79824
"Population, total",SP.POP.TOTL,Angola,AGO,30208628,31273533,32353588,33428486,34503774,35588987
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,91119,91626,92117,92664,93219,93763
"Population, total",SP.POP.TOTL,Argentina,ARG,44044811,44494502,44938712,45376763,45808747,46234830
"Population, total",SP.POP.TOTL,Armenia,ARM,2851923,2836557,2820602,2805608,2790974,2780469
"Population, total",SP.POP.TOTL,Aruba,ABW,105439,105962,106442,106585,106537,106445
"Population, total",SP.POP.TOTL,Australia,AUS,24594202,24966643,25340217,25655289,25688079,25978935
"Population, total",SP.POP.TOTL,Austria,AUT,8797566,8840521,8879920,8916864,8955797,9042528
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9854033,9939771,10024283,10093121,10137750,10175016
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,399020,401906,404557,406471,407906,409984
"Population, total",SP.POP.TOTL,Bahrain,BHR,1456834,1487340,1494188,1477469,1463265,1472233
"Population, total",SP.POP.TOTL,Bangladesh,BGD,161793964,163683958,165516222,167420951,169356251,171186372
"Population, total",SP.POP.TOTL,Barbados,BRB,279187,279688,280180,280693,281200,281635
"Population, total",SP.POP.TOTL,Belarus,BLR,9458989,9438785,9419758,9379952,9302585,9208701
"Population, total",SP.POP.TOTL,Belgium,BEL,11375158,11427054,11488980,11538604,11592952,11669446
"Population, total",SP.POP.TOTL,Belize,BLZ,374693,382066,389095,394921,400031,405272
"Population, total",SP.POP.TOTL,Benin,BEN,11596779,11940683,12290444,12643123,12996895,13352864
"Population, total",SP.POP.TOTL,Bermuda,BMU,63873,63918,63911,63893,63764,63532
"Population, total",SP.POP.TOTL,Bhutan,BTN,756121,762096,767459,772506,777486,782455
"Population, total",SP.POP.TOTL,Bolivia,BOL,11435533,11606905,11777315,11936162,12079472,12224110
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3440027,3400129,3360711,3318407,3270943,3233526
"Population, total",SP.POP.TOTL,Botswana,BWA,2401840,2451409,2499702,2546402,2588423,2630296
"Population, total",SP.POP.TOTL,Brazil,BRA,208504960,210166592,211782878,213196304,214326223,215313498
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,30060,30335,30610,30910,31122,31305
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,430276,434274,438048,441725,445373,449002
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7075947,7025037,6975761,6934015,6877743,6465097
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,19835858,20392723,20951639,21522626,22100683,22673762
"Population, total",SP.POP.TOTL,Burundi,BDI,11155593,11493472,11874838,12220227,12551213,12889576
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,564954,571202,577030,582640,587925,593149
"Population, total",SP.POP.TOTL,Cambodia,KHM,15830689,16025238,16207746,16396860,16589023,16767842
"Population, total",SP.POP.TOTL,Cameroon,CMR,24393181,25076747,25782341,26491087,27198628,27914536
"Population, total",SP.POP.TOTL,Canada,CAN,36545236,37065084,37601230,38007166,38226498,38929902
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,63581,64884,66134,67311,68136,68706
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4996741,5094780,5209324,5343020,5457154,5579144
"Population, total",SP.POP.TOTL,Chad,TCD,15085884,15604210,16126866,16644701,17179740,17723315
"Population, total",SP.POP.TOTL,Channel Islands,CHI,165215,167259,169410,171113,172683,174079
"Population, total",SP.POP.TOTL,Chile,CHL,18368577,18701450,19039485,19300315,19493184,19603733
"Population, total",SP.POP.TOTL,China,CHN,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000
"Population, total",SP.POP.TOTL,Colombia,COL,48351671,49276961,50187406,50930662,51516562,51874024
"Population, total",SP.POP.TOTL,Comoros,COM,761664,776313,790986,806166,821625,836774
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,84283273,87087355,89906890,92853164,95894118,99010212
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5312340,5441062,5570733,5702174,5835806,5970424
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4993842,5040734,5084532,5123105,5153957,5180829
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,24848016,25493988,26147551,26811790,27478249,28160542
"Population, total",SP.POP.TOTL,Croatia,HRV,4124531,4087843,4065253,4047680,3879000,3854000
"Population, total",SP.POP.TOTL,Cuba,CUB,11336405,11328244,11316697,11300698,11256372,11212191
