Country Name,Country Code,Year,Population
Afghanistan,AFG,2017,35643418
Albania,ALB,2017,2873457
Algeria,DZA,2017,41136546
American Samoa,ASM,2017,49463
Andorra,AND,2017,73837
Angola,AGO,2017,30208628
Antigua and Barbuda,ATG,2017,91119
Argentina,ARG,2017,44044811
Armenia,ARM,2017,2851923
Aruba,ABW,2017,105439
Australia,AUS,2017,24594202
Austria,AUT,2017,8797566
Azerbaijan,AZE,2017,9854033
"Bahamas, The",BHS,2017,399020
Bahrain,BHR,2017,1456834
Bangladesh,BGD,2017,161793964
Barbados,BRB,2017,279187
Belarus,BLR,2017,9458989
Belgium,BEL,2017,11375158
Belize,BLZ,2017,374693
Benin,BEN,2017,11596779
Bermuda,BMU,2017,63873
Bhutan,BTN,2017,756121
Bolivia,BOL,2017,11435533
Bosnia and Herzegovina,BIH,2017,3440027
Botswana,BWA,2017,2401840
Brazil,BRA,2017,208504960
British Virgin Islands,VGB,2017,30060
Brunei Darussalam,BRN,2017,430276
Bulgaria,BGR,2017,7075947
Burkina Faso,BFA,2017,19835858
Burundi,BDI,2017,11155593
Cabo Verde,CPV,2017,564954
Cambodia,KHM,2017,15830689
Cameroon,CMR,2017,24393181
Canada,CAN,2017,36545236
Cayman Islands,CYM,2017,63581
Central African Republic,CAF,2017,4996741
Chad,TCD,2017,15085884
Channel Islands,CHI,2017,165215
Chile,CHL,2017,18368577
China,CHN,2017,1396215000
Colombia,COL,2017,48351671
Comoros,COM,2017,761664
"Congo, Dem. Rep.",COD,2017,84283273
"Congo, Rep.",COG,2017,5312340
Costa Rica,CRI,2017,4993842
Cote d'Ivoire,CIV,2017,24848016
Croatia,HRV,2017,4124531
Cuba,CUB,2017,11336405
Curacao,CUW,2017,160175
Cyprus,CYP,2017,1208523
Czechia,CZE,2017,10594438
Denmark,DNK,2017,5764980
Djibouti,DJI,2017,1040233
Dominica,DMA,2017,70403
Dominican Republic,DOM,2017,10647244
Ecuador,ECU,2017,16696944
"Egypt, Arab Rep.",EGY,2017,101789386
El Salvador,SLV,2017,6266654
Equatorial Guinea,GNQ,2017,1450694
Eritrea,ERI,2017,3396933
Estonia,EST,2017,1317384
Ethiopia,ETH,2017,108197950
Faroe Islands,FRO,2017,50230
Fiji,FJI,2017,919019
Finland,FIN,2017,5508214
France,FRA,2017,66918020
French Polynesia,PYF,2017,295450
Gabon,GAB,2017,2140215
